chebi_id	children_count	depth[,]
CHEBI:57569	0	6, 7, 8, 9, 10, 11
CHEBI:57568	0	8, 9, 11
CHEBI:57570	11	6, 8, 9, 10
CHEBI:57571	0	6, 7, 8, 9, 10, 11
CHEBI:57572	0	7, 9, 10, 11
CHEBI:34073	0	9, 10, 11, 12, 13, 14
CHEBI:34079	0	16, 12, 13, 14, 15
CHEBI:57575	0	8, 9, 11
CHEBI:34077	0	11, 12, 13, 14, 15
CHEBI:57576	0	8, 9, 11
CHEBI:34071	0	16, 12, 13, 14
CHEBI:59679	0	16, 10, 11, 12, 13, 14, 15
CHEBI:57539	0	6, 8, 9, 10
CHEBI:59678	0	7
CHEBI:57538	0	6, 8, 9, 10
CHEBI:57537	0	6, 8, 9, 10
CHEBI:57536	0	7, 8, 9, 10, 11
CHEBI:57535	0	6, 8, 9, 10
CHEBI:57534	1	7, 9, 10, 11
CHEBI:57533	0	6, 8, 9, 10
CHEBI:59681	0	16, 10, 11, 12, 13, 14, 15
CHEBI:57542	0	8, 9, 11
CHEBI:59682	0	16, 10, 11, 12, 13, 14, 15
CHEBI:57543	0	7
CHEBI:57540	0	6, 8, 9, 10
CHEBI:57541	0	7, 8, 9, 10, 11
CHEBI:59684	0	8, 9, 10, 11, 12
CHEBI:59685	2	6, 8, 9, 10, 11
CHEBI:59686	4	9, 10
CHEBI:59687	0	9, 10, 11
CHEBI:59688	0	9, 10, 11, 12
CHEBI:2687	0	8, 9, 10, 11, 12
CHEBI:133341	0	7, 8, 9
CHEBI:2682	0	8, 10, 11, 12, 13, 14, 15
CHEBI:2691	0	8
CHEBI:57549	0	8, 9, 11
CHEBI:57548	0	8, 9, 11
CHEBI:59689	0	9, 10, 11, 12
CHEBI:57545	0	5, 8
CHEBI:57544	0	7, 8, 9, 10, 11
CHEBI:57547	0	6, 8, 9, 10
CHEBI:59694	0	10, 11
CHEBI:57551	0	6, 8, 9, 10, 11
CHEBI:59695	0	9, 10
CHEBI:57552	0	6, 8, 9
CHEBI:57553	0	6, 8, 9, 10
CHEBI:59692	2	8, 9, 10
CHEBI:59693	2	9, 10
CHEBI:57554	0	6, 7
CHEBI:59698	1	7, 8, 9, 10
CHEBI:59699	9	9, 10, 11, 12
